epoch,RMSE_P,RMSE_T,loss,mean_absolute_error,root_mean_squared_error,val_RMSE_P,val_RMSE_T,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,4537.4287109375,447.8099365234375,0.5748704671859741,0.4646865725517273,0.6804652810096741,3802.25732421875,368.7928771972656,0.37734806537628174,0.4376632571220398,0.6142866015434265
1,3229.85595703125,287.9298095703125,0.24707737565040588,0.35678577423095703,0.4970688223838806,3206.850341796875,232.451904296875,0.1819847971200943,0.3072230815887451,0.4265967607498169
2,2732.11865234375,198.18995666503906,0.13332334160804749,0.2641206383705139,0.36513471603393555,2780.294189453125,167.54400634765625,0.1113089919090271,0.2439430058002472,0.3336300253868103
3,2428.39794921875,152.3140411376953,0.08914924412965775,0.2190244346857071,0.2985787093639374,2439.130615234375,135.14913940429688,0.07882102578878403,0.2086365818977356,0.2807508111000061
4,2178.13671875,127.6986083984375,0.06722855567932129,0.19172757863998413,0.25928470492362976,2188.9306640625,114.90432739257812,0.06042486056685448,0.18445664644241333,0.24581469595432281
5,2001.7518310546875,112.29654693603516,0.053635258227586746,0.1728397160768509,0.23159287869930267,1988.6849365234375,101.74816131591797,0.04883379489183426,0.16714636981487274,0.22098369896411896
6,1838.33203125,100.4229965209961,0.0444071963429451,0.15875884890556335,0.2107301503419876,1815.4449462890625,92.046630859375,0.040459044277668,0.15319739282131195,0.20114435255527496
7,1710.9952392578125,91.97506713867188,0.037924591451883316,0.1478816419839859,0.1947423666715622,1679.5208740234375,86.33056640625,0.0350688174366951,0.14284762740135193,0.18726670742034912
8,1593.679931640625,86.36137390136719,0.03326958790421486,0.13933409750461578,0.18239952623844147,1579.3658447265625,81.53945922851562,0.0311574749648571,0.13465964794158936,0.17651480436325073
9,1515.87890625,82.22547912597656,0.029798610135912895,0.13244228065013885,0.17262274026870728,1496.118408203125,78.54275512695312,0.028378617018461227,0.12866432964801788,0.16845953464508057
10,1434.9521484375,78.59980010986328,0.02708153799176216,0.1261623501777649,0.16456469893455505,1424.3465576171875,75.5445327758789,0.025988170877099037,0.12373178452253342,0.16120846569538116
11,1360.0567626953125,76.13594818115234,0.02491094172000885,0.12118256092071533,0.15783201158046722,1370.397216796875,73.29721069335938,0.024230074137449265,0.11923786252737045,0.15566012263298035
12,1310.479736328125,74.0039291381836,0.023109735921025276,0.11658075451850891,0.15201885998249054,1327.0576171875,71.13103485107422,0.02275829389691353,0.11572155356407166,0.150858536362648
13,1266.7760009765625,71.1965560913086,0.021604957059025764,0.11249236017465591,0.1469862461090088,1290.52685546875,68.8240737915039,0.021419642493128777,0.11241624504327774,0.14635451138019562
14,1228.3192138671875,68.70964813232422,0.0203655157238245,0.10894601047039032,0.14270779490470886,1262.3328857421875,67.31753540039062,0.02049528993666172,0.10984983295202255,0.14316175878047943
15,1209.044921875,67.9327621459961,0.01922750286757946,0.10570096969604492,0.13866327702999115,1235.9644775390625,65.50634765625,0.019540121778845787,0.1073157787322998,0.1397859901189804
16,1168.9649658203125,65.19908905029297,0.01830279640853405,0.10270516574382782,0.1352878361940384,1212.6610107421875,63.84846878051758,0.018675900995731354,0.10483519732952118,0.13665980100631714
17,1149.1217041015625,63.234012603759766,0.017428472638130188,0.10015766322612762,0.13201694190502167,1197.509033203125,62.06444549560547,0.01796199008822441,0.10258934646844864,0.13402234017848969
18,1128.1883544921875,61.82023620605469,0.01669747568666935,0.09774627536535263,0.1292187124490738,1181.61865234375,60.93031692504883,0.017430681735277176,0.10087914019823074,0.1320253163576126
19,1106.9552001953125,60.25288772583008,0.016078628599643707,0.09574293345212936,0.126801535487175,1166.1041259765625,59.70738983154297,0.01688327081501484,0.09910108894109726,0.1299356371164322
20,1094.0030517578125,58.924407958984375,0.015485146082937717,0.09366155415773392,0.12443932145833969,1159.123291015625,58.67677307128906,0.01652657426893711,0.09774354100227356,0.12855572998523712
21,1086.930908203125,57.59907913208008,0.01499972864985466,0.09200361371040344,0.12247337400913239,1143.789306640625,57.51424789428711,0.016019469127058983,0.09628953784704208,0.1265680342912674
22,1061.978759765625,56.41904830932617,0.014516592025756836,0.09045286476612091,0.12048481404781342,1139.29833984375,56.603240966796875,0.015750618651509285,0.09508097171783447,0.12550146877765656
23,1054.999755859375,55.18238830566406,0.014079340733587742,0.08863616734743118,0.11865638941526413,1120.1182861328125,55.04868698120117,0.015090876258909702,0.09326063096523285,0.12284492701292038
24,1044.8973388671875,54.01184844970703,0.013706843368709087,0.08757337927818298,0.11707622557878494,1115.16943359375,54.5294075012207,0.014909366145730019,0.09243768453598022,0.12210391461849213
25,1044.5289306640625,53.3364143371582,0.01336092408746481,0.08616001158952713,0.11558946967124939,1107.2032470703125,53.48948669433594,0.01457189116626978,0.0911928191781044,0.12071409076452255
26,1021.5120239257812,52.30881881713867,0.01307526882737875,0.08530295640230179,0.11434714496135712,1099.712890625,52.7349853515625,0.014303654432296753,0.0903468132019043,0.119597889482975
27,1026.1824951171875,51.35108184814453,0.012772138230502605,0.08413302898406982,0.11301388591527939,1098.463623046875,51.79454803466797,0.014089839532971382,0.08915267139673233,0.11870063096284866
28,1010.178466796875,50.815364837646484,0.012483613565564156,0.08296546339988708,0.11173009127378464,1083.05810546875,51.08647155761719,0.013708950020372868,0.08820156753063202,0.11708522588014603
29,1005.1736450195312,49.594757080078125,0.012247334234416485,0.0823194682598114,0.11066767573356628,1083.334228515625,50.74707794189453,0.013645745813846588,0.08758335560560226,0.1168150082230568
30,999.6187744140625,49.01605987548828,0.011958518996834755,0.08107050508260727,0.10935501009225845,1072.5556640625,50.153648376464844,0.013367287814617157,0.08685511350631714,0.11561698466539383
31,987.618408203125,48.02642059326172,0.011716080829501152,0.08019442111253738,0.10824085026979446,1063.75390625,49.463661193847656,0.013093644753098488,0.08609580993652344,0.11442746222019196
32,986.5782470703125,47.71265411376953,0.011542366817593575,0.0796935111284256,0.10743540525436401,1061.0098876953125,48.91310119628906,0.01295149140059948,0.08546899259090424,0.11380461603403091
33,977.1390380859375,46.85349655151367,0.011329337023198605,0.07879041880369186,0.10643935948610306,1056.01123046875,48.564781188964844,0.012802541255950928,0.08501975238323212,0.11314831674098969
34,970.3173828125,46.06782913208008,0.011137147434055805,0.0779825821518898,0.1055326834321022,1046.460693359375,48.12627029418945,0.012575862929224968,0.08431284874677658,0.1121421530842781
35,964.891845703125,45.93567657470703,0.010949385352432728,0.07744041830301285,0.10463932156562805,1046.5567626953125,47.62364959716797,0.01249038428068161,0.08355896174907684,0.11176038533449173
36,964.774658203125,45.86347579956055,0.01079862006008625,0.07669324427843094,0.10391639918088913,1037.325927734375,47.41896438598633,0.012320105917751789,0.08316212147474289,0.11099597066640854
37,951.6155395507812,45.13325500488281,0.010611182078719139,0.07587236911058426,0.10301059484481812,1031.3079833984375,46.93938446044922,0.012139423750340939,0.08241815865039825,0.11017905175685883
38,948.7032470703125,44.86465072631836,0.010479509830474854,0.07552459090948105,0.10236947983503342,1027.5950927734375,47.0217399597168,0.01210265513509512,0.08215580135583878,0.11001206934452057
39,941.7149658203125,44.38789367675781,0.010352694429457188,0.07489289343357086,0.10174819082021713,1024.38134765625,46.44233703613281,0.011961687356233597,0.08161802589893341,0.10936950147151947
40,929.3783569335938,44.21671676635742,0.01021172571927309,0.0743090808391571,0.10105308890342712,1019.4219970703125,46.44026184082031,0.01188621949404478,0.08127494901418686,0.10902394354343414
41,927.4072875976562,43.607845306396484,0.010105466470122337,0.07384547591209412,0.10052595287561417,1014.4616088867188,46.14445495605469,0.011766222305595875,0.08082737773656845,0.10847222059965134
